Week,Home,Home Sets,Away,Away Sets,Location
1,Haymakers,8,Party All The Time,4,Edgeworth Club
1,Duncan's Donuts,6,Tri-Borough Deuces,5,Sewickley YMCA
1,Beaver Street Bullies,2,Cox Slashers,8,Allegheny Country Club
2,Party All The Time,4,Duncan's Donuts,4,Sewickley YMCA
2,Beaver Street Bullies,2,Haymakers,7,Allegheny Country Club
2,Cox Slashers,6,Tri-Borough Deuces,4,Edgeworth Club
3,Beaver Street Bullies,,Party All The Time,,Allegheny Country Club
3,Duncan's Donuts,,Cox Slashers,,Sewickley YMCA
3,Haymakers,,Tri-Borough Deuces,,Edgeworth Club
4,Cox Slashers,,Party All The Time,,Edgeworth Club
4,Tri-Borough Deuces,,Beaver Street Bullies,,Allegheny Country Club
4,Duncan's Donuts,,Haymakers,,Sewickley YMCA
5,Party All The Time,,Tri-Borough Deuces,,Sewickley YMCA
5,Cox Slashers,,Haymakers,,Edgeworth Club
5,Beaver Street Bullies,,Duncan's Donuts,,Allegheny Country Club
6,Party All The Time,,Haymakers,,Sewickley YMCA
6,Tri-Borough Deuces,,Duncan's Donuts,,Allegheny Country Club
6,Cox Slashers,,Beaver Street Bullies,,Edgeworth Club
7,Duncan's Donuts,,Party All The Time,,Sewickley YMCA
7,Haymakers,,Beaver Street Bullies,,Edgeworth Club
7,Tri-Borough Deuces,,Cox Slashers,,Allegheny Country Club
